original_value,normalized_value,suggested_group,similarity_score,count,decision
URBAN SOCIETY FOR ABORIGINAL YOUTH,URBAN SOCIETY FOR ABORIGINAL YOUTH,URBAN SOCIETY FOR ABORIGINAL YOUTH,100,32,accepted
COUNCIL FOR ANGLOPHONE MAGDALEN ISLANDERS,COUNCIL FOR ANGLOPHONE MAGDALEN ISLANDERS,COUNCIL FOR ANGLOPHONE MAGDALEN ISLANDERS,100,31,accepted
"GOVERNMENT OF THE NORTHWEST TERRITORIES, DEPARTMENT OF EDUCATION, CULTURE AND EMPLOYMENT",GOVERNMENT OF THE NORTHWEST TERRITORIES DEPARTMENT OF EDUCATION CULTURE AND EMPLOYMENT,"GOVERNMENT OF THE NORTHWEST TERRITORIES, DEPARTMENT OF EDUCATION, CULTURE AND EMPLOYMENT",100,31,accepted
Lobster Council of Canada|Lobster Council of Canada,LOBSTER COUNCIL OF CANADA,Lobster Council of Canada|Lobster Council of Canada,100,31,accepted
Southwest Valley Development Corporation Inc.|Southwest Valley Development Corporation Inc.,SOUTHWEST VALLEY DEVELOPMENT CORPORATION INC,Southwest Valley Development Corporation Inc.|Southwest Valley Development Corporation Inc.,100,31,accepted
"TERRES EN VUES, SOCIÉTÉ POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE",TERRES EN VUES SOCIETE POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE,"TERRES EN VUES, SOCIÉTÉ POUR LA DIFFUSION DE LA CULTURE AUTOCHTONE",100,31,accepted
CONSEIL DES ARTS DE CHÉTICAMP,CONSEIL DES ARTS DE CHETICAMP,CONSEIL DES ARTS DE CHÉTICAMP,100,30,accepted
City of Summerside|City of Summerside,CITY OF SUMMERSIDE,City of Summerside|City of Summerside,100,30,accepted
FIDDLEHEAD POETRY BOOKS & GOOSE LANE EDITIONS LTD.,FIDDLEHEAD POETRY BOOKS GOOSE LANE EDITIONS LTD,FIDDLEHEAD POETRY BOOKS & GOOSE LANE EDITIONS LTD.,100,30,accepted
FILM ZONE INC.,FILM ZONE INC,FILM ZONE INC.,100,30,accepted
"GOVERNMENT OF THE NORTHWEST TERRITORIES - DEPARTMENT OF EDUCATION, CULTURE AND EMPLOYMENT",GOVERNMENT OF THE NORTHWEST TERRITORIES DEPARTMENT OF EDUCATION CULTURE AND EMPLOYMENT,"GOVERNMENT OF THE NORTHWEST TERRITORIES, DEPARTMENT OF EDUCATION, CULTURE AND EMPLOYMENT",100,30,accepted
KEBAOWEK FIRST NATION,KEBAOWEK FIRST NATION,KEBAOWEK FIRST NATION,100,30,accepted
Labrador North Chamber of Commerce Inc.|Labrador North Chamber of Commerce Inc.,LABRADOR NORTH CHAMBER OF COMMERCE INC,Labrador North Chamber of Commerce Inc.|Labrador North Chamber of Commerce Inc.,100,30,accepted
Oceans Advance Inc.|Oceans Advance Inc.,OCEANS ADVANCE INC,Oceans Advance Inc.|Oceans Advance Inc.,100,30,accepted
CONFÉRENCE INTERNATIONALE DES ARTS DE LA SCÈNE DE MONTRÉAL,CONFERENCE INTERNATIONALE DES ARTS DE LA SCENE DE MONTREAL,CONFÉRENCE INTERNATIONALE DES ARTS DE LA SCÈNE DE MONTRÉAL,100,29,accepted
